Testing Kafka

50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 4.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 16.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 3.0 max latency.
50010 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50040 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 4.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 18.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 19.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 13.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 3.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50009 records sent, 9999.8 records/sec (0.10 MB/sec), 0.8 ms avg latency, 12.0 max latency.
50011 records sent, 10000.2 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 16.0 max latency.
50019 records sent, 9999.8 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50021 records sent, 10004.2 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 13.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 4.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 17.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 16.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 8.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 10.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 3.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50000 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 15.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 16.0 max latency.
50020 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 3.0 max latency.
